,source,target,total,count,source_num,target_num
6358,harvard university,environ italy,harvard university environ italy,6,337,328
6784,chonbuk national university,kumamoto university,chonbuk national university kumamoto university,6,73,644
6890,universite de sherbrooke,hydro-quebec,universite de sherbrooke hydro-quebec,6,711,353
7744,canadian discovery ltd.,core laboratories lp,canadian discovery ltd. core laboratories lp,6,354,141
6876,baker hughes palo alto innovation center,lawrence livermore national laboratory,baker hughes palo alto innovation center lawrence livermore national laboratory,6,202,832
6874,lawrence livermore national laboratory,baker hughes palo alto innovation center,lawrence livermore national laboratory baker hughes palo alto innovation center,6,832,202
73,ansys,weatherford,ansys weatherford,6,844,454
6328,massachusetts institute of technology,harvard university,massachusetts institute of technology harvard university,6,154,337
64,weatherford,ansys,weatherford ansys,6,454,844
6352,harvard university,massachusetts institute of technology,harvard university massachusetts institute of technology,6,337,154
1248,bazan consulting inc.,rosetta resources inc.,bazan consulting inc. rosetta resources inc.,6,685,155
1246,rosetta resources inc.,bazan consulting inc.,rosetta resources inc. bazan consulting inc.,6,155,685
6403,environ italy,harvard university,environ italy harvard university,6,328,337
6793,kumamoto university,chonbuk national university,kumamoto university chonbuk national university,6,644,73
3659,baker hughes,pluspetrol norte s.a,baker hughes pluspetrol norte s.a,6,421,456
6896,hydro-quebec,universite de sherbrooke,hydro-quebec universite de sherbrooke,6,353,711
3647,pluspetrol norte s.a,baker hughes,pluspetrol norte s.a baker hughes,6,456,421
7747,core laboratories lp,canadian discovery ltd.,core laboratories lp canadian discovery ltd.,6,141,354
3416,consorcio shushufindi-schlumberger,schlumberger,consorcio shushufindi-schlumberger schlumberger,6,213,287
3404,schlumberger,consorcio shushufindi-schlumberger,schlumberger consorcio shushufindi-schlumberger,6,287,213
18,kangwon national university,korea institute of civil engineering and building technology,kangwon national university korea institute of civil engineering and building technology,6,224,709
12,korea institute of civil engineering and building technology,kangwon national university,korea institute of civil engineering and building technology kangwon national university,6,709,224
1056,king fahd university of petroleum & minerals,saudi aramco,king fahd university of petroleum & minerals saudi aramco,6,370,595
1052,saudi aramco,king fahd university of petroleum & minerals,saudi aramco king fahd university of petroleum & minerals,6,595,370
7392,sm energy,aim geoanalytics,sm energy aim geoanalytics,6,450,129
3120,state key laboratory of petroleum resources and prospecting in china university of petroleum beijing (cupb),ministry of education key laboratory of petroleum engineering in cupb,state key laboratory of petroleum resources and prospecting in china university of petroleum beijing (cupb) ministry of education key laboratory of petroleum engineering in cupb,6,125,181
7396,aim geoanalytics,sm energy,aim geoanalytics sm energy,6,129,450
3142,ministry of education key laboratory of petroleum engineering in cupb,state key laboratory of petroleum resources and prospecting in china university of petroleum beijing (cupb),ministry of education key laboratory of petroleum engineering in cupb state key laboratory of petroleum resources and prospecting in china university of petroleum beijing (cupb),6,181,125
7738,petroleum engineering program university of houston,down hole company cnpc chuanqing drilling company,petroleum engineering program university of houston down hole company cnpc chuanqing drilling company,6,203,788
7076,itasca consulting group inc.,bp american inc,itasca consulting group inc. bp american inc,6,322,247
314,omv,omv new zealand,omv omv new zealand,6,771,837
1388,university of calgary,university of stavanger,university of calgary university of stavanger,6,665,455
4211,kyoto university,jogmec,kyoto university jogmec,6,798,333
7346,(schlumberger),(kuwait oil company),(schlumberger) (kuwait oil company),6,210,578
1407,norwegian university of science and technology (ntnu),university of calgary,norwegian university of science and technology (ntnu) university of calgary,6,848,665
4096,baker hughes,abu dhabi company for onshore petroleum operations (adco),baker hughes abu dhabi company for onshore petroleum operations (adco),6,421,70
1400,university of stavanger,university of calgary,university of stavanger university of calgary,6,455,665
1389,university of calgary,norwegian university of science and technology (ntnu),university of calgary norwegian university of science and technology (ntnu),6,665,848
4104,aramco research center––houston,uc-berkeley,aramco research center––houston uc-berkeley,6,602,726
4124,uc-berkeley,aramco research center––houston,uc-berkeley aramco research center––houston,6,726,602
4090,abu dhabi company for onshore petroleum operations (adco),baker hughes,abu dhabi company for onshore petroleum operations (adco) baker hughes,6,70,421
326,omv new zealand,omv,omv new zealand omv,6,837,771
4014,schlumberger,japan oil development co. ltd.,schlumberger japan oil development co. ltd.,6,287,807
4000,japan oil development co. ltd.,schlumberger,japan oil development co. ltd. schlumberger,6,807,287
3996,japan oil development co. ltd.,abu dhabi marine operating co.,japan oil development co. ltd. abu dhabi marine operating co.,6,807,846
3971,abu dhabi marine operating co.,japan oil development co. ltd.,abu dhabi marine operating co. japan oil development co. ltd.,6,846,807
3819,epslog sa.,abu dhabi company for onshore petroleum operations ltd (adco),epslog sa. abu dhabi company for onshore petroleum operations ltd (adco),6,473,611
4208,jogmec,kyoto university,jogmec kyoto university,6,333,798
3816,abu dhabi company for onshore petroleum operations ltd (adco),epslog sa.,abu dhabi company for onshore petroleum operations ltd (adco) epslog sa.,6,611,473
5250,baker hughes inc.,lawrence livermore national laboratory,baker hughes inc. lawrence livermore national laboratory,5,613,832
5233,oil & gas technology research institution of changqing oilfield company,china university of petroleum,oil & gas technology research institution of changqing oilfield company china university of petroleum,5,399,640
211,petroamazonas,halliburton,petroamazonas halliburton,5,809,588
206,halliburton,petroamazonas,halliburton petroamazonas,5,588,809
3696,computer modeling group ltd.,university of calgary,computer modeling group ltd. university of calgary,5,582,665
3210,petroamazonas ep,schlumberger - doll research,petroamazonas ep schlumberger - doll research,5,211,381
5255,lawrence livermore national laboratory,baker hughes inc.,lawrence livermore national laboratory baker hughes inc.,5,832,613
2920,beijing no.4 high school,state key laboratory of petroleum resources and prospecting china university of petroleum beijing,beijing no.4 high school state key laboratory of petroleum resources and prospecting china university of petroleum beijing,5,427,770
3219,consorcio shushufindi - schlumberger,petroamazonas ep,consorcio shushufindi - schlumberger petroamazonas ep,5,872,211
3188,schlumberger - doll research,petroamazonas ep,schlumberger - doll research petroamazonas ep,5,381,211
2914,offshore engineering technology center cnpc international,state key laboratory of petroleum resources and prospecting china university of petroleum beijing,offshore engineering technology center cnpc international state key laboratory of petroleum resources and prospecting china university of petroleum beijing,5,334,770
800,exxonmobil upstream research co. (emurc),emurc,exxonmobil upstream research co. (emurc) emurc,5,744,59
5368,massachusetts institute of technology,university of oklahoma,massachusetts institute of technology university of oklahoma,5,154,556
5370,university of oklahoma,massachusetts institute of technology,university of oklahoma massachusetts institute of technology,5,556,154
3213,petroamazonas ep,consorcio shushufindi - schlumberger,petroamazonas ep consorcio shushufindi - schlumberger,5,211,872
642,pluspetrol norte s.a,pluspetrol peru corporation s.a,pluspetrol norte s.a pluspetrol peru corporation s.a,5,456,246
